Mario Williams,"$16,000,000",BUF,DL
Mark Anderson,"$6,875,000",BUF,DL
Brodrick Bunkley,"$5,000,000",NO,DL
Kendall Langford,"$5,500,000",STL,DL
Frostee Rucker,"$4,100,000",CLE,DL
Cory Redding,"$3,500,000",IND,DL
Letroy Guion,"$3,000,000",MIN,DL
C.J. Mosley,"$2,475,000",JAC,DL
Antonio Garay,"$3,300,000",SD,DL
Jamaal Anderson,"$2,750,000",CIN,DL
Jason Jones,"$4,500,000",SEA,DL
Juqua Parker,"$3,000,000",CLE,DL
Israel Idonije,"$2,500,000",CHI,DL
Dave Tollefson,"$1,200,000",OAK,DL
Fred Evans,"$1,075,000",MIN,DL
Gary Gibson,"$1,000,000",TB,DL
Brandon McKinney,"$1,000,000",IND,DL
Pat Sims,"$1,440,000",CIN,DL
Amobi Okoye,"$1,300,000",TB,DL
Dave Ball,"$1,272,000",TEN,DL
Trevor Scott,"$1,150,000",NE,DL
Derek Landri,"$1,100,000",PHI,DL
Terrell McClain,"$510,000",HOU,DL
Justin Bannan,"$1,000,000",DEN,DL
Turk McBride,"$1,000,000",NO,DL
Andre Carter,"$925,000",OAK,DL
Rocky Bernard,"$925,000",NYG,DL
Vonnie Holliday,"$925,000",ARI,DL
Shaun Rogers,"$925,000",NO,DL
William Hayes,"$900,000",STL,DL
Aubrayo Franklin,"$890,000",SD,DL
Maake Kemoeatu,"$825,000",BAL,DL
Anthony Hargrove,"$825,000",GB,DL
Kedric Golston,"$790,000",WAS,DL
Antwan Applewhite,"$765,000",CAR,DL
Andre Fluellen,"$765,000",DET,DL
Wallace Gilberry,"$700,000",TB,DL
Remi Ayodele,"$700,000",NO,DL
Trevor Laws,"$700,000",STL,DL
Jason Hunter,"$700,000",DEN,DL
Marcus Harrison,"$623,120",NE,DL
Ryan Baker,"$617,500",MIA,DL
DeMario Pressley,"$540,000",CHI,DL
Daniel Muir,"$381,176",NYJ,DL
Shaun Smith,-,KC,DL
Jayme Mitchell,-,TB,DL
Paul Soliai,0,TBD,DL
Aaron Smith,0,TBD,DL
Luis Castillo,0,TBD,DL
Aaron Kampman,0,TBD,DL
Shaun Ellis,0,TBD,DL
Kelly Gregg,0,TBD,DL
Fred Robbins,0,TBD,DL
John Henderson,0,TBD,DL
Alex Brown,0,TBD,DL
Matt Roth,0,TBD,DL
James Hall,0,TBD,DL
Mike Wright,0,TBD,DL
Phillip Merling,0,TBD,DL
Jonathan Fanene,0,TBD,DL
Marcus Stroud,0,TBD,DL
Albert Haynesworth,0,TBD,DL
Jimmy Wilkerson,0,TBD,DL
Jacob Ford,0,TBD,DL
Jarvis Moss,0,TBD,DL
Travis LaBoy,0,TBD,DL
Eric Foster,0,TBD,DL
Brian Price,0,TBD,DL
Jacques Cesaire,0,TBD,DL
Marcus Thomas,0,TBD,DL
Howard Green,0,TBD,DL
Tommie Harris,0,TBD,DL
Anthony Bryant,0,TBD,DL
Victor Abiamiri,0,TBD,DL
Darrion Scott,0,TBD,DL
Darell Scott,0,TBD,DL
Derrick Harvey,0,TBD,DL
Eric Moore,0,TBD,DL
Victor Adeyanju,0,TBD,DL
Ikaika Alama-Francis,0,TBD,DL
Landon Cohen,0,TBD,DL
Lamar Divens,0,TBD,DL
Jason Shirley,0,TBD,DL
Ogemdi Nwaguo,0,TBD,DL
Frank Okam,0,TBD,DL
Igor Olshansky,0,TBD,DL
John McCargo,0,TBD,DL
Jimmy Kennedy,0,TBD,DL
Nick Hayden,0,TBD,DL
Kellen Heard,0,TBD,DL
Marcus Dixon,0,TBD,DL
Kyle Moore,0,TBD,DL
E.J. Wilson,0,TBD,DL
Clifton Geathers,0,TBD,DL
Antonio Coleman,0,TBD,DL
Brandon Bair,0,TBD,DL
George Johnson,0,TBD,DL
Thaddeus Gibson,0,TBD,DL
Zach Clayton,0,TBD,DL
Mario Addison,0,TBD,DL
Lawrence Guy,0,TBD,DL
Isaako Aaitui,0,TBD,DL
Ricky Lumpkin,0,TBD,DL
Mitch King,-,-1,DL
Ra'Shon Harris,0,TBD,DL
Teryl White,0,TBD,DL
Phillip Daniels,0,TBD,DL
Chase Baker,0,TBD,DL
Jammie Kirlew,0,TBD,DL
Markus White,0,TBD,DL
Chauncey Davis,0,TBD,DL
Cornell Banks,0,TBD,DL
Hall Davis,0,TBD,DL
Scott Smith,-,-1,DL
Ryan Davis,0,TBD,DL
Brian McNally,0,TBD,DL
Aston Whiteside,0,TBD,DL
Vaughn Meatoga,0,TBD,DL
Odrick Ray,0,TBD,DL
John Henderson,0,TBD,DL
Dwayne Hendricks,0,TBD,DL
Jordan Miller,0,TBD,DL
