Peyton Manning,"$19,200,000",DEN,QB
Alex Smith,"$9,258,333",SF,QB
Matt Flynn,"$6,333,333",SEA,QB
Kyle Orton,"$3,500,000",DAL,QB
Chad Henne,"$3,375,000",JAC,QB
Shaun Hill,"$2,750,000",DET,QB
Jason Campbell,"$3,500,000",CHI,QB
David Garrard,"$3,350,000",MIA,QB
Charlie Whitehurst,"$1,525,000",SD,QB
Dan Orlovsky,"$1,250,000",TB,QB
Caleb Hanie,"$1,125,000",DEN,QB
Josh Johnson,"$1,057,500",SF,QB
Vince Young,"$1,987,500",BUF,QB
Brady Quinn,"$1,500,000",KC,QB
Rex Grossman,"$1,300,000",WAS,QB
Drew Stanton,"$1,250,000",NYJ,QB
Charlie Batch,"$990,000",PIT,QB
David Carr,"$990,000",NYG,QB
Josh McCown,"$875,000",CHI,QB
Luke McCown,"$825,000",NO,QB
Byron Leftwich,"$825,000",PIT,QB
Derek Anderson,"$825,000",CAR,QB
Chris Redman,"$825,000",ATL,QB
Kellen Clemens,"$710,000",STL,QB
Matt Leinart,"$700,000",OAK,QB
Jordan Palmer,"$615,000",JAC,QB
Curtis Painter,"$615,000",BAL,QB
Richard Bartel,"$540,000",ARI,QB
Donovan McNabb,0,TBD,QB
Sage Rosenfels,0,TBD,QB
A.J. Feeley,0,TBD,QB
Jon Kitna,0,TBD,QB
Kerry Collins,0,TBD,QB
Billy Volek,-,-1,QB
Seneca Wallace,0,TBD,QB
Kyle Boller,0,TBD,QB
Dennis Dixon,0,TBD,QB
John Beck,0,TBD,QB
Stephen McGee,0,TBD,QB
Mark Brunell,0,TBD,QB
J.P. Losman,0,TBD,QB
Mike Kafka,0,TBD,QB
Max Hall,0,TBD,QB
Tom Brandstater,0,TBD,QB
Drew Willy,0,TBD,QB
Ryan Perrilloux,0,TBD,QB
Josh Portis,0,TBD,QB
Jake Delhomme,0,TBD,QB
Brett Ratliff,0,TBD,QB
Nick Stephens,0,TBD,QB
Jarrett Lee,0,TBD,QB
Zac Robinson,0,TBD,QB
Thaddeus Lewis,0,TBD,QB
Jeff Garcia,0,TBD,QB
Jerrod Johnson,0,TBD,QB
Sean Canfield,0,TBD,QB
Rudy Carpenter,0,TBD,QB
Aaron Corp,0,TBD,QB
Adam Weber,0,TBD,QB
Matt Simms,0,TBD,QB
Chandler Harnish,0,TBD,QB
