Demetress Bell,"$7,000,000",PHI,T
Jared Gaither,"$6,150,000",SD,T
Eric Winston,"$5,500,000",KC,T
Breno Giacomini,"$3,250,000",SEA,T
Jeff Backus,"$3,000,000",DET,T
Anthony Collins,"$1,575,000",CIN,T
Khalif Barnes,"$2,000,000",OAK,T
Robert Gallery,"$1,800,000",NE,T
Frank Omiyale,"$1,225,000",SEA,T
King Dunlap,"$1,200,000",PHI,T
Barry Richardson,"$1,020,000",STL,T
Sean Locklear,"$890,000",NYG,T
Pat McQuistan,"$700,000",ARI,T
George Foster,"$700,000",IND,T
Stephon Heyer,"$700,000",NYJ,T
James Lee,"$700,000",WAS,T
Quinn Ojinnaka,"$700,000",STL,T
William Robinson,"$615,000",NO,T
Max Starks,-,PIT,T
Marcus McNeill,0,TBD,T
Chad Clifton,0,TBD,T
Kareem McKenzie,0,TBD,T
Ryan Diem,0,TBD,T
Matt Light,0,TBD,T
Tony Pashos,0,TBD,T
Vernon Carey,0,TBD,T
Jeff Otah,0,TBD,T
Daniel Loper,0,TBD,T
Brandon Keith,0,TBD,T
Mark LeVoir,0,TBD,T
Tony Moll,0,TBD,T
Allen Barbre,0,TBD,T
Chris Hoke,0,TBD,T
Trai Essex,0,TBD,T
Tony Ugoh,0,TBD,T
Duke Robinson,0,TBD,T
Michael Toudouze,0,TBD,T
Nevin McCaskill,0,TBD,T
Clint Oldenburg,0,TBD,T
Derek Hardman,0,TBD,T
Bryant Browning,0,TBD,T
Kevin Haslam,0,TBD,T
Alex Barron,0,TBD,T
Garrett Chisolm,0,TBD,T
Derek Hall,0,TBD,T
Steven Baker,0,TBD,T
Anthony Davis,0,TBD,T
Dan Knapp,0,TBD,T
Lee Barbiasz,0,TBD,T
Chris DeGeare,0,TBD,T
Mario Henderson,0,TBD,T
Mike Williams,0,TBD,T
Cordell Bell,0,TBD,T
David Mims,0,TBD,T
Mark Tauscher,0,TBD,T
Mike Tepper,0,TBD,T
Kevin Murphy,0,TBD,T
Phil Trautwein,0,TBD,T
Ty Nsekhe,0,TBD,T
Matthew O'Donnell,0,TBD,T
Fenuki Tupou,0,TBD,T
Jonas Jennings,0,TBD,T
Dominique Byrd,0,TBD,T
James Carmon,0,TBD,T
Eric Vanden Heuvel,0,TBD,T
Joe Long,0,TBD,T
Jonathan Palmer,0,TBD,T
Dustin Waldron,0,TBD,T
Corey Clark,0,TBD,T
D.J. Jones,0,TBD,T
Flozell Adams,0,TBD,T
Levy Adcock,0,TBD,T
Ed Wang,0,TBD,T
A.J. Greene,0,TBD,T
Nick Kaczur,0,TBD,T
Brandon Washington,0,TBD,T
Shea Allard,0,TBD,T
Justin Anderson,0,TBD,T
Mike McCabe,0,TBD,T
Matt McCants,0,TBD,T
J.B. Shugarts,0,TBD,T
Darrion Weems,0,TBD,T
Edawn Coughman,0,TBD,T
Justin Wells,0,TBD,T
Jermarcus Hardrick,0,TBD,T
Aderious Simmons,0,TBD,T
