Doug Legursky,"$1,000,000",BUF,C
Brad Meester,"$1,500,000",JAC,C
Robert Turner,"$1,500,000",TEN,C
Dan Koppen,"$915,000",DEN,C
Joe Berger,"$905,000",MIN,C
Rich Ohrnberger,"$675,000",SD,C
Alex Parsons,"$480,000",OAK,C
Steve Vallos,-,DEN,C
Eugene Amano,0,TBD,C
Leroy Harris,0,TBD,C
Ryan Lilja,0,TBD,C
Ryan Pontbriand,0,TBD,C
Cody Wallace,0,TBD,C
Kevin Matthews,0,TBD,C
Nick McDonald,0,TBD,C
Edwin Williams,0,TBD,C
Thomas Austin,0,TBD,C
C.J. Davis,0,TBD,C
David Molk,0,TBD,C
Josh Samuda,0,TBD,C
Colin Baxter,0,TBD,C
John Malecki,0,TBD,C
Chandler Burden,0,TBD,C
Adam Bice,0,TBD,C
T.J. Johnson,0,TBD,C
Deveric Gallington,0,TBD,C
Jason Slowey,0,TBD,C
Garth Gerhart,0,TBD,C
Darren Keyton,0,TBD,C
Braxston Cave,0,TBD,C
Matt Stankiewitch,0,TBD,C
Reggie Stephens,0,TBD,C
Tevita Stevens,0,TBD,C
Erik Cook,0,TBD,C
Jon Cooper,0,TBD,C
P.J. Lonergan,0,TBD,C
Joe Madsen,0,TBD,C
Scott Wedige,0,TBD,C
Camden Wentz,0,TBD,C
