James Casey,"$4,000,000",PHI,FB
Jerome Felton,"$2,500,000",MIN,FB
Vonta Leach,"$1,875,000",BAL,FB
Montell Owens,"$1,250,000",DET,FB
Quinn Johnson,"$835,000",TEN,FB
Greg Jones,"$1,000,000",HOU,FB
Tony Fiammetta,"$780,000",CHI,FB
Jackie Battle,"$715,000",TEN,FB
Corey McIntyre,0,TBD,FB
Lawrence Vickers,0,TBD,FB
Chris Pressley,0,TBD,FB
Owen Marecic,0,TBD,FB
John Conner,0,TBD,FB
Will Tukuafu,0,TBD,FB
Dorson Boyce,0,TBD,FB
Jorvorskie Lane,0,TBD,FB
Harvey Unga,0,TBD,FB
Mike Cox,0,TBD,FB
Eric Kettani,0,TBD,FB
Braden Wilson,0,TBD,FB
Tevita Finau,0,TBD,FB
Dan Moore,0,TBD,FB
Austin Johnson,0,TBD,FB
Eric Stevens,0,TBD,FB
Jon Hoese,0,TBD,FB
Ben Bartholomew,0,TBD,FB
Chris McDonald,0,TBD,FB
