LaRon Landry,"$6,000,000",IND,S
Ed Reed,"$5,000,000",HOU,S
Michael Huff,"$2,000,000",BAL,S
Adrian Wilson,"$1,666,667",NE,S
George Wilson,"$2,000,000",TEN,S
Dawan Landry,"$1,500,000",NYJ,S
Bernard Pollard,"$2,000,000",TEN,S
Raymond Ventrone,"$867,500",SF,S
Quentin Jammer,"$1,100,000",DEN,S
Quintin Mikell,"$1,005,000",CAR,S
Usama Young,"$985,000",OAK,S
Yeremiah Bell,"$905,000",ARI,S
Jim Leonhard,"$840,000",BUF,S
Eric Frampton,"$715,000",DAL,S
Darcel McBath,"$630,000",SF,S
Amari Spievey,"$630,000",DET,S
Matt Giordano,"$555,000",STL,S
Corey Lynch,0,TEN,S
Jose Gumbs,0,WAS,S
Kerry Rhodes,0,TBD,S
Eric Smith,0,TBD,S
Jordan Babineaux,0,TBD,S
Charlie Peprah,0,TBD,S
Tom Zbikowski,0,TBD,S
Haruki Nakamura,0,TBD,S
Michael Adams,0,TBD,S
Josh Barrett,0,TBD,S
Will Allen,0,TBD,S
James Sanders,0,TBD,S
Madieu Williams,0,TBD,S
Atari Bigby,0,TBD,S
Abram Elam,0,TBD,S
Travis Daniels,0,TBD,S
Tyrell Johnson,0,TBD,S
Chris Hope,0,TBD,S
Al Afalava,0,TBD,S
Robert Johnson,0,TBD,S
Troy Nolan,0,TBD,S
Sean Considine,0,TBD,S
Chris Crocker,0,TBD,S
Brandon Hardin,0,TBD,S
Shann Schillinger,0,TBD,S
Robert Sands,0,TBD,S
Ahmad Black,0,TBD,S
Cody Grimm,0,TBD,S
Tyler Sash,0,TBD,S
Eric Hagg,0,TBD,S
Joe Lefeged,0,TBD,S
Jerron McMillian,0,TBD,S
Ricardo Silva,0,TBD,S
Jonathon Amaya,0,TBD,S
Markelle Martin,0,TBD,S
Charles Mitchell,0,TBD,S
D.J. Campbell,0,TBD,S
Jordan Bernstine,0,TBD,S
Tony Dye,0,TBD,S
Anderson Russell,0,TBD,S
Donnie Fletcher,0,TBD,S
David Sims,0,TBD,S
Cory Nelms,0,TBD,S
Sean Cattouse,0,TBD,S
Tysyn Hartman,0,TBD,S
Christian Thompson,0,TBD,S
Mana Silva,0,TBD,S
Tracy Wilson,0,TBD,S
Tyrone Culver,0,TBD,S
Mark LeGree,0,TBD,S
Jerico Nelson,0,TBD,S
Nick Saenz,0,TBD,S
Eddie Whitley,0,TBD,S
Brandon Bishop,0,TBD,S
Dominique Ellis,0,TBD,S
John Boyett,0,TBD,S
Malcom Bronson,0,TBD,S
Jamoris Slaughter,0,TBD,S
Martavius Neloms,0,TBD,S
Reggie Smith,0,TBD,S
Cannon Smith,-,-1,S
Rashard Hall,0,TBD,S
Ray Polk,0,TBD,S
Bret Lockett,0,TBD,S
Chaz Powell,0,TBD,S
Chyl Quarles,0,TBD,S
Ross Rasner,0,TBD,S
Suiaesi Tuimaunei,0,TBD,S
Alonzo Tweedy,0,TBD,S
Kent Richardson,0,TBD,S
David Caldwell,0,TBD,S
Devin Holland,0,TBD,S
