Jared Cook,"$7,020,000",STL,TE
Martellus Bennett,"$5,100,000",CHI,TE
Delanie Walker,"$4,375,000",TEN,TE
Anthony Fasano,"$4,000,000",KC,TE
John Phillips,"$1,758,333",SD,TE
Benjamin Watson,"$1,650,000",NO,TE
Dustin Keller,"$4,250,000",MIA,TE
Gary Barnidge,"$1,250,000",CLE,TE
Fred Davis,"$2,500,000",WAS,TE
Brandon Myers,"$2,250,000",NYG,TE
Matt Spaeth,"$1,000,000",PIT,TE
Tom Crabtree,"$800,000",TB,TE
Dallas Clark,"$1,005,000",BAL,TE
Alex Smith,"$905,000",CIN,TE
Billy Bajema,"$840,000",BAL,TE
Dante Rosario,"$780,000",DAL,TE
David Johnson,"$665,000",PIT,TE
Jeron Mastrud,"$630,000",OAK,TE
DeAngelo  Peterson,0,DEN,TE
Tony Gonzalez,0,TBD,TE
Tony Scheffler,0,TBD,TE
Kellen Davis,0,TBD,TE
David Thomas,0,TBD,TE
Kevin Boss,0,TBD,TE
Daniel Fells,0,TBD,TE
Randy McMichael,0,TBD,TE
Matthew Mulligan,0,TBD,TE
Travis Beckum,0,TBD,TE
Evan Moore,0,TBD,TE
Martin Rucker,0,TBD,TE
Anthony Hill,0,TBD,TE
Jake O'Connell,0,TBD,TE
Cameron Morrah,0,TBD,TE
Isaiah Stanback,0,TBD,TE
Richard Quinn,0,TBD,TE
Will Heller,0,TBD,TE
Visanthe Shiancoe,0,TBD,TE
Brody Eldridge,0,TBD,TE
Dan Gronkowski,0,TBD,TE
Michael Palmer,0,TBD,TE
Leonard Pope,0,TBD,TE
Zach Potter,0,TBD,TE
Kyle Adams,0,TBD,TE
Dorin Dickerson,0,TBD,TE
Chris Cooley,0,TBD,TE
DeMarco Cosby,0,TBD,TE
Brandon Barden,0,TBD,TE
Jamie McCoy,0,TBD,TE
Hayden Smith,0,TBD,TE
Tommy Gallarda,0,TBD,TE
Kyle Miller,0,TBD,TE
Emil Igwenagu,0,TBD,TE
Shaun Chapas,0,TBD,TE
Brett Brackett,0,TBD,TE
Tim Biere,0,TBD,TE
Gabe Miller,0,TBD,TE
Adam Schiltz,0,TBD,TE
Zach Miller,0,TBD,TE
D.C. Jefferson,0,TBD,TE
Ifeanyi Momah,0,TBD,TE
Darren Fells,0,TBD,TE
Will Shaw,0,TBD,TE
Kevin Brock,0,TBD,TE
Mickey Shuler,0,TBD,TE
Alex Silvestro,0,TBD,TE
Matt Furstenburg,0,TBD,TE
Lamark Brown,0,TBD,TE
Matt Murphy,0,TBD,TE
Devonte Campbell,0,TBD,TE
Alex Gottlieb,0,TBD,TE
Emmanuel Ogbuehi,0,TBD,TE
Cameron Graham,0,TBD,TE
Fendi Onobun,0,TBD,TE
Jamie Childers,0,TBD,TE
Ben Guidugli ,0,TBD,TE
Chase Clement,0,TBD,TE
Colin Cloherty,0,TBD,TE
Colin Cochart,0,TBD,TE
Zack Pianalto ,0,TBD,TE
Colin Anderson,0,TBD,TE
Philip Lutzenkirchen,0,TBD,TE
Justice Cunningham,0,TBD,TE
Joey Haynos,0,TBD,TE
Cooper Helfet,0,TBD,TE
Josh Baker,0,TBD,TE
Michael Higgins,0,TBD,TE
Dallas Walker,0,TBD,TE
Martell Webb,0,TBD,TE
