Curtis Lofton,"$6,000,000",OAK,ILB
Bruce Carter,"$4,250,000",TB,ILB
Justin Durant,"$3,600,000",ATL,ILB
Nate Irving,"$2,416,667",IND,ILB
Malcolm Smith,"$3,500,000",OAK,ILB
Akeem Dent,"$2,250,000",HOU,ILB
Sean Weatherspoon,"$3,850,000",ARI,ILB
Rolando McClain,"$3,000,000",DAL,ILB
Nick Bellore,"$845,000",SF,ILB
Jonathan Freeny,"$1,000,000",NE,ILB
Dane Fletcher,"$825,000",NE,ILB
Jamari Lattimore,"$825,000",NYJ,ILB
Casey Matthews,"$825,000",MIN,ILB
Chris White,"$795,000",NE,ILB
Jasper Brinkley,"$745,000",NYG,ILB
LaRoy Reynolds,"$585,000",CHI,ILB
Brad Jones,0,TBD,ILB
Nick Roach,0,TBD,ILB
Brandon Spikes,0,TBD,ILB
Joe Mays,0,TBD,ILB
Jameel McClain,0,TBD,ILB
Heath Farwell,0,TBD,ILB
Mason Foster,0,TBD,ILB
Colin McCarthy,0,TBD,ILB
D.J. Williams,0,TBD,ILB
Jason Trusnik,0,TBD,ILB
Reggie Walker,0,TBD,ILB
Miles Burris,0,TBD,ILB
Zaviar Gooden,0,TBD,ILB
Stevenson Sylvester,0,TBD,ILB
Dom DeCicco,0,TBD,ILB
Mike Mohamed,0,TBD,ILB
Darryl Sharpton,0,TBD,ILB
Prince Shembo,0,TBD,ILB
Emmanuel Acho,0,TBD,ILB
Henoc Muamba,0,TBD,ILB
Brandon Magee,0,TBD,ILB
Marquis Spruill,0,TBD,ILB
Alvin Scioneaux,0,TBD,ILB
DeDe Lattimore,0,TBD,ILB
Moise Fokou,0,TBD,ILB
Jimmy Gaines,0,TBD,ILB
Ja'Gared Davis,0,TBD,ILB
Bojay Filimoeatu,0,TBD,ILB
Steve Beauharnais,0,TBD,ILB
Chris Young,0,TBD,ILB
Yawin Smallwood,0,TBD,ILB
Marshall McFadden,0,TBD,ILB
JoJo Dickson,0,TBD,ILB
Allen Bradford,0,TBD,ILB
Justin Anderson,0,TBD,ILB
Jake Knott,0,TBD,ILB
Shawn Lemon,0,TBD,ILB
Andrew Bose,0,TBD,ILB
Cole Farrand,-,-1,ILB
Justin Shirk,-,-1,ILB
Michael Zimmer,0,TBD,ILB
Matt Robinson,0,TBD,ILB
Caesar Rayford,0,TBD,ILB
Andrae Kirk,0,TBD,ILB
Josh Francis,0,TBD,ILB
Austin Spitler,0,TBD,ILB
