Jeremy Maclin,"$11,000,000",KC,WR
Torrey Smith,"$8,000,000",SF,WR
Andre Johnson,"$7,000,000",IND,WR
Dwayne Harris,"$3,500,000",NYG,WR
Eddie Royal,"$5,000,000",CHI,WR
Dwayne Bowe,"$6,250,000",CLE,WR
Harry Douglas,"$3,750,000",TEN,WR
Stevie Johnson,"$3,500,000",SD,WR
Kenny Britt,"$4,575,000",STL,WR
Greg Jennings,"$4,000,000",MIA,WR
Marcus Easley,"$1,750,000",BUF,WR
Cecil Shorts,"$3,000,000",HOU,WR
Percy Harvin,"$6,000,000",BUF,WR
Michael Crabtree,"$3,200,000",OAK,WR
Bryan Walters,"$722,500",JAC,WR
Lance Moore,"$1,050,000",DET,WR
Nate Washington,"$1,000,000",HOU,WR
Leonard Hankerson,"$1,000,000",ATL,WR
Wes Welker,"$970,000",STL,WR
James Jones,"$950,000",NYG,WR
Jason Avant,"$950,000",KC,WR
Seyi Ajirotutu,"$825,000",PHI,WR
Brandon Tate,"$825,000",CIN,WR
Darrius Heyward-Bey,"$825,000",PIT,WR
Brandon Gibson,"$825,000",NE,WR
Greg Little,"$745,000",CIN,WR
Jarrett Boykin,"$700,000",CAR,WR
Reggie Wayne,0,TBD,WR
Hakeem Nicks,0,TBD,WR
Donnie Avery,0,TBD,WR
Miles Austin,0,TBD,WR
Jacoby Jones,0,TBD,WR
Riley Cooper,0,TBD,WR
Denarius Moore,0,TBD,WR
Dane Sanzenbacher,0,TBD,WR
Brad Smith,0,TBD,WR
A.J.  Jenkins,0,TBD,WR
Brandon Lloyd,0,TBD,WR
Ryan Broyles,0,TBD,WR
Vincent Brown,0,TBD,WR
Jerrel Jernigan,0,TBD,WR
Tandon Doss,0,TBD,WR
Kris Durham,0,TBD,WR
Greg Salas,0,TBD,WR
Santana Moss,0,TBD,WR
Preston Parker,0,TBD,WR
Robert Meachem,0,TBD,WR
Josh Morgan,0,TBD,WR
Derek Hagan,0,TBD,WR
Jeff Maehl,0,TBD,WR
Griff Whalen,0,TBD,WR
Junior Hemingway,0,TBD,WR
Saalim Hakim,0,TBD,WR
Ace  Sanders,0,TBD,WR
