Mitchell Schwartz,"$6,600,000",KC,RT
Bobby Massie,"$6,000,000",CHI,RT
J'Marcus Webb,"$2,875,000",SEA,RT
Andre Smith,"$3,500,000",MIN,RT
Byron Bell,"$2,250,000",TEN,RT
Bryce Harris,"$820,000",ATL,RT
Jeff Linkenbach,"$810,000",JAC,RT
Byron Stingily,"$780,000",NYG,RT
Don Barclay,"$700,000",GB,RT
Phillip Loadholt,0,TBD,RT
Erik Pears,0,TBD,RT
J'Marcus Webb,0,TBD,RT
Jamon Meredith,0,TBD,RT
Byron Stingily,0,TBD,RT
Tayo Fabuluje,0,TBD,RT
Tyson Chandler,0,TBD,RT
Micah Hatchie,0,TBD,RT
Austin Wentworth,0,TBD,RT
Curtis Feigt,0,TBD,RT
Kelvin Palmer,0,TBD,RT
Pierce Burton,0,TBD,RT
Marcel Jones,0,TBD,RT
Luke Marquardt,0,TBD,RT
Lamar Holmes,0,TBD,RT
Vince Kowalski,0,TBD,RT
Chris Martin,0,TBD,RT
Andrew McDonald,0,TBD,RT
Darrion Weems,0,TBD,RT
Matt Feiler,0,TBD,RT
Kevin Graf,0,TBD,RT
Cameron Bradfield,0,TBD,RT
Reid Fragel,0,TBD,RT
