Nnamdi Asomugha,12000000,CB
Darrelle Revis,11500000,CB
Champ Bailey,10625000,CB
Brent Grimes,10281000,CB
Brandon Carr,10020000,CB
Cortland Finnegan,10000000,CB
Leon Hall,9750000,CB
Johnathan Joseph,9750000,CB
DeAngelo Hall,9166667,CB
Chris Gamble,8791667,CB
Dunta Robinson,8625000,CB
Lardarius Webb,8333333,CB
Tramon Williams,8250000,CB
Brandon Flowers,8225000,CB
Joe Haden,8011348,CB
Antonio Cromartie,8000000,CB
Eric Wright,7500000,CB
Carlos Rogers,7325000,CB
Corey Webster,7250000,CB
Antoine Winfield,7200000,CB
Jason McCourty,7173333,CB
Ike Taylor,7000000,CB
Charles Tillman,6166667,CB
Stanford Routt,6000000,CB
Dimitri Patterson,5350000,CB
Richard Marshall,5333333,CB
Jabari Greer,5275000,CB
Nate Clements,5250000,CB
Sheldon Brown,5083333,CB
Asante Samuel,4900000,CB
Rashean Mathis,4848000,CB
Patrick Peterson,4607375,CB
Josh Wilson,4500000,CB
Terrell Thomas,4350000,CB
Jason Allen,4100000,CB
Morris Claiborne,4066126,CB
Tracy Porter,4000000,CB
Leodis McKelvin,3880000,CB
Tim Jennings,3800000,CB
Aaron Ross,3250000,CB
Dominique Rodgers-Cromartie,3105750,CB
Tarell Brown,3037501,CB
Stephon Gilmore,3021038,CB
Orlando Scandrick,3000000,CB
Leigh Bodden,3000000,CB
Chris Houston,3000000,CB
Ron Bartell,2912500,CB
Aqib Talib,2800000,CB
Kareem Jackson,2704000,CB
Cedric Griffin,2500000,CB
William Gay,2475000,CB
Drayton Florence,2250000,CB
Vontae Davis,2250000,CB
Dre Kirkpatrick,2155699,CB
Prince Amukamara,2045225,CB
Terrence McGee,2015000,CB
Kyle Wilson,1981000,CB
Corey Graham,1975000,CB
Cary Williams,1927000,CB
Patrick Robinson,1881900,CB
Jimmy Smith,1865425,CB
Mike Jenkins,1855000,CB
Jarrett Bush,1750000,CB
Antoine Cason,1556000,CB
Chris Cook,1342500,CB
Ras-I Dowling,1326025,CB
Marcus Trufant,1300000,CB
Jacob Lacey,1300000,CB
Greg Toler,1260000,CB
William Middleton,1260000,CB
Keenan Lewis,1260000,CB
Janoris Jenkins,1247535,CB
Darius Butler,1081250,CB
Adam-Pacman Jones,950000,CB
Javier Arenas,949604,CB
Kyle Arrington,937500,CB
Joselio Hanson,900000,CB
Kelvin Hayden,890000,CB
Ron Bartell,850000,CB
Casey Hayward,827478,CB
Chris Johnson,825000,CB
Chris Carr,825000,CB
Shawntae Spencer,825000,CB
Terence Newman,825000,CB
Stanford Routt,825000,CB
Brandon Harris,824832,CB
Curtis Marsh,809790,CB
Alterraun Verner,790035,CB
Sean Smith,779000,CB
Trumaine Johnson,760169,CB
Josh Robinson,753750,CB
Elbert Mack,700000,CB
Derrick Martin,700000,CB
Justin Tryon,700000,CB
David Jones,700000,CB
Alan Ball,700000,CB
Brandon McDonald,700000,CB
Michael Coe,700000,CB
Justin Miller,700000,CB
Antwaun Molden,700000,CB
