Vonta Leach,3666667,FB
Greg Jones,3480000,FB
LeRon McClain,2750000,FB
Montell Owens,2600000,FB
John Kuhn,2533333,FB
Mike Tolbert,2500000,FB
Michael Robinson,2500000,FB
David Johnson,1260000,FB
Corey McIntyre,1250250,FB
Lawrence Vickers,1200000,FB
Marcel Reece,981500,FB
Chris Pressley,757500,FB
Jerome Felton,750000,FB
Owen Schmitt,700000,FB
Jackie Battle,700000,FB
Mike Cox,700000,FB
Evan Rodriguez,636300,FB
Orson Charles,632325,FB
Owen Marecic,612000,FB
John Conner,585000,FB
Erik Lorig,577500,FB
Anthony Sherman,561725,FB
Bradie Ewing,552298,FB
Richie Brockel,540000,FB
Bruce Miller,525613,FB
Will Tukuafu,510000,FB
Quinn Johnson,485569,FB
Cory Harkey,480833,FB
Will Johnson,480000,FB
Mario Harvey,480000,FB
Stanley Havili,480000,FB
Jorvorskie Lane,480000,FB
Robert Hughes,480000,FB
Dorson Boyce,480000,FB
Henry Hynoski,470000,FB
James Develin,465000,FB
Tyler Clutts,465000,FB
Collin Mooney,450000,FB
Jamize Olawale,435000,FB
Patrick DiMarco,435000,FB
Will Ta'ufo'ou,435000,FB
Jed Collins,430000,FB
Darrel Young,405000,FB
Harvey Unga,397500,FB
Leonard Weaver,100000,FB
