Rob Gronkowski,9000000,TE
Jason Witten,7400000,TE
Vernon Davis,7350000,TE
Antonio Gates,7235000,TE
Jermichael Finley,7000000,TE
Zach Miller,6800000,TE
Marcedes Lewis,6800000,TE
Heath Miller,6750000,TE
Tony Gonzalez,6325000,TE
Aaron Hernandez,5654571,TE
Fred Davis,5446000,TE
Owen Daniels,5421875,TE
John Carlson,5000000,TE
Brent Celek,4875000,TE
Greg Olsen,4560000,TE
Benjamin Watson,4000000,TE
Craig Stevens,3600000,TE
Kellen Davis,3000000,TE
Kevin Boss,3000000,TE
Anthony Fasano,2925333,TE
Joel Dreessen,2833333,TE
Jermaine Gresham,2819000,TE
Todd Heap,2750000,TE
Scott Chandler,2725000,TE
Jacob Tamme,2708333,TE
Dallas Clark,2700000,TE
Brandon Pettigrew,2560000,TE
Martellus Bennett,2500000,TE
Robert Royal,2500000,TE
Tony Scheffler,2356500,TE
Dustin Keller,2350000,TE
Matt Spaeth,1991667,TE
Jeff King,1850000,TE
David Thomas,1833333,TE
Daniel Fells,1666667,TE
Randy McMichael,1350000,TE
Coby Fleener,1335412,TE
Visanthe Shiancoe,1200000,TE
Lance Kendricks,1056526,TE
Ben Hartsock,1000000,TE
Daniel Graham,990000,TE
Kyle Rudolph,976791,TE
Billy Bajema,890000,TE
Will Heller,890000,TE
Delanie Walker,875000,TE
Alex Smith,850000,TE
Chris Cooley,825000,TE
Tony Moeaki,817413,TE
Dwayne Allen,770076,TE
Robert Housler,748523,TE
Leonard Pope,725000,TE
Evan Moore,707500,TE
Andrew Quarless,703856,TE
Matthew Mulligan,701000,TE
Martin Rucker,700000,TE
Dante Rosario,700000,TE
Michael Egnew,694114,TE
Richard Quinn,670000,TE
Kory Sperry,665000,TE
Jake O'Connell,640000,TE
Ladarius Green,637725,TE
Jordan Cameron,629350,TE
Luke Stocker,628172,TE
Ed Dickson,625833,TE
Gary Barnidge,622500,TE
Isaiah Stanback,622500,TE
Adrien Robinson,621413,TE
Jimmy Graham,613785,TE
Jared Cook,612500,TE
Rhett Ellison,600146,TE
Garrett Graham,592525,TE
Travis Beckum,590750,TE
Chase Coffman,585000,TE
Lee Smith,574571,TE
Taylor Thompson,574500,TE
Clay Harbor,560725,TE
D.J. Williams,559500,TE
Niles Paul,555413,TE
Anthony Hill,551750,TE
James Hanna,551213,TE
Steve Maneri,540000,TE
Dan Gronkowski,540000,TE
Jeron Mastrud,540000,TE
Michael Palmer,540000,TE
Brody Eldridge,540000,TE
Jake Ballard,540000,TE
Zach Potter,540000,TE
Michael Hoomanawanui,540000,TE
Charles Clay,538000,TE
David Paulson,536474,TE
Richard Gordon,536213,TE
Dennis Pitta,528667,TE
Virgil Green,526236,TE
Ryan Taylor,524794,TE
David Ausberry,521475,TE
Anthony McCoy,511213,TE
Allen Reisner,510000,TE
Jim Dray,497250,TE
Hayden Smith,484667,TE
James Casey,483750,TE
