Ndamukong Suh,12900400,DT
Haloti Ngata,12131000,DT
Gerald McCoy,11000000,DT
Tyson Jackson,10985000,DT
Geno Atkins,10665400,DT
Randy Starks,8450000,DT
Henry Melton,8450000,DT
Vince Wilfork,8000000,DT
Kyle Williams,7287500,DT
Ahtyba Rubin,6625000,DT
Ryan Pickett,6187500,DT
Paul Soliai,6000000,DT
Barry Cofield,6000000,DT
Domata Peko,5553000,DT
Kendall Langford,5500000,DT
Marcell Dareus,5101825,DT
Brodrick Bunkley,5000000,DT
Brandon Mebane,5000000,DT
Kevin Williams,5000000,DT
Maake Kemoeatu,4600000,DT
Ray McDonald,4020000,DT
Sammie Lee Hill,3800000,DT
Isaac Sopoaga,3666667,DT
Letroy Guion,3000000,DT
Glenn Dorsey,3000000,DT
Dontari Poe,2830002,DT
Cullen Jenkins,2666667,DT
Jared Odrick,2614388,DT
Kevin Vickerson,2500000,DT
Tommy Kelly,2500000,DT
Nick Fairley,2472250,DT
Steve McLendon,2416667,DT
Star Lotulelei,2401125,DT
Michael Brockers,2380500,DT
Terrance Knighton,2250000,DT
Roy Miller,2200000,DT
Arthur Jones,2023000,DT
Sharrif Floyd,2019050,DT
Vance Walker,2000000,DT
Sean Lissemore,2000000,DT
Sylvester Williams,1895438,DT
Dan Williams,1797000,DT
Pat Sims,1750000,DT
Dwan Edwards,1750000,DT
Peria Jerry,1692000,DT
Ian Williams,1600000,DT
Sen'Derrick Marks,1500000,DT
Fred Evans,1500000,DT
Derek Landri,1375000,DT
C.J. Mosley,1375000,DT
Chris Baker,1323000,DT
Kawann Short,1157584,DT
Aubrayo Franklin,1105000,DT
Linval Joseph,1077625,DT
Shaun Rogers,1055000,DT
Johnathan Hankins,1007672,DT
Gary Gibson,1000000,DT
Da'Quan Bowers,963909,DT
Devon Still,942101,DT
Stephen Paea,921476,DT
Frostee Rucker,905000,DT
Jermelle Cudjo,902500,DT
Tony McDaniel,890000,DT
Mike Patterson,880000,DT
Corey Peters,850000,DT
Jay Ratliff,840000,DT
Colin Cole,840000,DT
Antonio Johnson,800000,DT
Corey Wootton,785018,DT
Terrence Cody,765000,DT
Bennie Logan,758108,DT
Andre Fluellen,715000,DT
Daniel Muir,715000,DT
John Jenkins,698140,DT
Jordan Hill,691035,DT
Earl Mitchell,682125,DT
Nick Hayden,680000,DT
Corvey Irvin,680000,DT
Brandon Thompson,672800,DT
Brandon Williams,668750,DT
Akeem Spence,661106,DT
Kenrick Ellis,655625,DT
Frank Kearse,648333,DT
Ogemdi Nwaguo,637500,DT
Kyle Love,630000,DT
Clinton McDonald,630000,DT
Landon Cohen,630000,DT
Nate Collins,630000,DT
Sione Fua,600000,DT
Jesse Williams,592763,DT
Quinton Dial,585413,DT
Josh Boyd,576140,DT
Chris Jones,563128,DT
Stacy McGee,559670,DT
Karl Klug,558613,DT
Mitch Unrein,555000,DT
Jerrell Powe,555000,DT
Josh Chapman,537628,DT
Markus Kuhn,536474,DT
Travian Robertson,536474,DT
