Carl Nicks,9500000,G
Logan Mankins,8500000,G
Jahri Evans,8100000,G
Andy Levitre,7800000,G
Davin Joseph,7500000,G
Ben Grubbs,7200000,G
Chris Snee,7083333,G
Josh Sitton,6750000,G
Justin Blalock,6400000,G
Marshal Yanda,6400000,G
Louis Vasquez,5875000,G
Daryn Colledge,5500000,G
T.J. Lang,5200000,G
Evan Mathis,5100000,G
Jeromey Clary,5000000,G
Chris Kuper,4668667,G
Richie Incognito,4300000,G
Uche Nwaneri,4183500,G
Mike Brisiel,4000000,G
Chris Chester,4000000,G
Kraig Urbik,3650000,G
Jonathan Cooper,3637251,G
Rob Sims,3550000,G
Charlie Johnson,3500000,G
Donald Thomas,3500000,G
Harvey Dahl,3375000,G
Dan Connolly,3250000,G
Erik Pears,3100000,G
Chance Warmack,3041663,G
Mike Iupati,3022125,G
Wade Smith,3000000,G
Mackenzy Bernadeau,2875000,G
Kyle Long,2075238,G
David DeCastro,1953475,G
James Carpenter,1910376,G
Kevin Zeitler,1886050,G
Ramon Foster,1833333,G
Gabe Carimi,1764012,G
Alex Boone,1635000,G
John Greco,1605000,G
Rodger Saffold,1543250,G
Brian Waters,1500000,G
Chris Williams,1376154,G
Mike McGlynn,1325000,G
Jeff Linkenbach,1323000,G
Chad Rinehart,1250000,G
Amini Silatolu,1234276,G
Adam Snyder,1225000,G
Willie Colon,1162500,G
Travelle Wharton,1100000,G
Orlando Franklin,1089000,G
Zane Beadles,1080250,G
Kevin Boothe,905000,G
Chris Spencer,905000,G
Dylan Gandy,905000,G
Jon Asamoah,886280,G
Geoff Hangartner,840000,G
Kelechi Osemele,836468,G
Shawn Lauvao,825000,G
Matt Slauson,815000,G
Oniel Cousins,800000,G
Jamon Meredith,800000,G
Mike Pollak,780000,G
Larry Warford,768750,G
Vladimir Ducasse,741250,G
Will Rackley,728569,G
Brian Winters,725969,G
Fernando Velasco,715000,G
Guy Whimper,715000,G
Josh LeRibeus,714081,G
Dallas Thomas,711594,G
Geoff Schwartz,700000,G
Brandon Brooks,700000,G
Hugh Thornton,683845,G
Garry Williams,680556,G
Ted Larsen,678400,G
Seth Olsen,670000,G
John Jerry,662125,G
Edmund Kugbila,654114,G
Tony Bergstrom,651504,G
Jah Reid,650810,G
Earl Watford,648716,G
Ben Jones,645362,G
David Arkin,644650,G
Joe Looney,631301,G
Chris Scott,630000,G
Cody Wallace,630000,G
Paul Fanaika,630000,G
Clint Boling,628112,G
James Brewer,619273,G
Brandon Mosley,600146,G
Tanner Hawkinson,585606,G
Marcus Cannon,584547,G
Adam Gettis,575493,G
Johnnie Troutman,572938,G
Dennis Kelly,572200,G
Jason Pinkston,570000,G
William Campbell,567625,G
Jeff Baca,564150,G
Danny Watkins,555000,G
