Patrick Willis,10000000,ILB
Lawrence Timmons,9559150,ILB
Navorro Bowman,9050000,ILB
David Harris,9000000,ILB
Jon Beason,8821592,ILB
Brian Cushing,8750000,ILB
James Laurinaitis,8300000,ILB
Daryl Washington,8000000,ILB
DeMeco Ryans,7800000,ILB
D'Qwell Jackson,7700000,ILB
Paul Posluszny,7500000,ILB
Jerod Mayo,7121429,ILB
Derrick Johnson,5530000,ILB
Curtis Lofton,5500000,ILB
London Fletcher,5375000,ILB
Jameel McClain,5250000,ILB
Stephen Tulloch,5100000,ILB
Jonathan Vilma,4650000,ILB
Koa Misi,4250000,ILB
Brad Jones,3750000,ILB
A.J. Hawk,3533333,ILB
Rey Maualuga,3250000,ILB
Nick Roach,3250000,ILB
Jon Beason,3250000,ILB
DeAndre Levy,3250000,ILB
Luke Kuechly,3144651,ILB
Wesley Woodyard,2500000,ILB
Karlos Dansby,2250000,ILB
Kaluka Maiava,2000000,ILB
Erin Henderson,2000000,ILB
Dont'a Hightower,1931001,ILB
Larry Foote,1833333,ILB
Jasper Brinkley,1750000,ILB
D.J. Williams,1750000,ILB
Heath Farwell,1500000,ILB
Moise Fokou,1400000,ILB
Manti Te'o,1293105,ILB
Stewart Bradley,1200000,ILB
Jason Trusnik,1190000,ILB
Daryl Smith,1125000,ILB
Mychal Kendricks,1111111,ILB
Joe Mays,1100000,ILB
Kevin Minter,1097572,ILB
Bobby Wagner,1076950,ILB
Kiko Alonso,1075100,ILB
Zach Brown,964575,ILB
Jamie Collins,940250,ILB
Nick Barnett,940000,ILB
Paris Lenon,940000,ILB
Arthur Brown,888558,ILB
Sean Lee,872500,ILB
Omar Gaither,840000,ILB
Donald Butler,836625,ILB
Patrick Angerer,822500,ILB
Jonas Mouton,802376,ILB
Brandon Spikes,800000,ILB
Perry Riley,790750,ILB
Sio Moore,763708,ILB
Bryan Kehl,740000,ILB
Ramon Humber,740000,ILB
Akeem Jordan,735000,ILB
Reggie Walker,730000,ILB
Josh Mauga,730000,ILB
Jason Phillips,730000,ILB
Rob Francois,725000,ILB
Dan Connor,715000,ILB
Demario Davis,704490,ILB
Mason Foster,696093,ILB
Akeem Dent,691975,ILB
Nate Irving,683750,ILB
Sean Spence,676345,ILB
Zaviar Gooden,670254,ILB
Nico Johnson,667750,ILB
Jacob Cutrera,650000,ILB
Sean Porter,647325,ILB
Keenan Robinson,630027,ILB
Austin Spitler,630000,ILB
Stevenson Sylvester,630000,ILB
James-Michael Johnson,628977,ILB
Colin McCarthy,623850,ILB
Dane Fletcher,620000,ILB
Casey Matthews,619966,ILB
Darryl Sharpton,618735,ILB
Miles Burris,600146,ILB
Tahir Whitehead,578000,ILB
Najee Goode,576725,ILB
Mike Mohamed,570000,ILB
Audie Cole,570000,ILB
Nick Moody,566918,ILB
Vince Williams,559670,ILB
Michael Mauti,555682,ILB
Albert McClellan,555000,ILB
Josh Hull,555000,ILB
Sam Barrington,552250,ILB
Steve Beauharnais,551898,ILB
Allen Bradford,543750,ILB
Chris White,540150,ILB
Travis Lewis,539793,ILB
Tank Carder,525000,ILB
Orie Lemon,525000,ILB
