Gosder Cherilus,7000000,RT
Anthony Davis,6640000,RT
Phillip Loadholt,6250000,RT
Andre Smith,6000000,RT
Todd Herremans,6000000,RT
David Stewart,5269000,RT
Lane Johnson,4963276,RT
Sebastian Vollmer,4187500,RT
Tyson Clabo,3500000,RT
Doug Free,3500000,RT
Breno Giacomini,3250000,RT
D.J. Fluker,2850625,RT
Bryan Bulaga,2649000,RT
Justin Pugh,2086475,RT
Austin Howard,2023000,RT
Zach Strief,1916667,RT
Derek Sherrod,1650501,RT
Nate Garner,1625000,RT
Demar Dotson,1500000,RT
Corey Hilliard,1440000,RT
Jermey Parnell,1354363,RT
Chris Clark,1323000,RT
Jason Fox,1323000,RT
Garrett Reynolds,1293750,RT
Mitchell Schwartz,1292710,RT
Eric Winston,1250000,RT
Menelik Watson,1198713,RT
Jonathan Martin,1196067,RT
Jeff Allen,1160956,RT
David Diehl,1000000,RT
Tyler Polumbus,1000000,RT
Khalif Barnes,915000,RT
Tony Pashos,840000,RT
Jeremy Trueblood,840000,RT
Marcus Gilbert,806854,RT
Ryan Harris,780000,RT
Allen Barbre,727500,RT
Eben Britton,715000,RT
Dennis Roland,715000,RT
Donald Stephenson,703125,RT
Marshall Newhouse,695713,RT
Brennan Williams,683975,RT
Lamar Holmes,658400,RT
Andrew Gardner,650000,RT
Mike Johnson,645554,RT
Bobby Massie,635845,RT
Bruce Campbell,615625,RT
Thomas Welch,585000,RT
Jordan Mills,581200,RT
Ricky Wagner,576140,RT
Michael Person,568633,RT
Ryan Jensen,559670,RT
Michael Bowie,551474,RT
Byron Stingily,537625,RT
Derek Newton,525064,RT
Justin Anderson,525000,RT
Joe Barksdale,510000,RT
Brice Schwab,498333,RT
LaAdrian Waddle,498333,RT
Luke Marquardt,496667,RT
Colin Kelly,495333,RT
Graham Pocic,495000,RT
Reid Fragel,495000,RT
Markus Zusevics,484333,RT
Nate Chandler,482000,RT
Don Barclay,480833,RT
J'Marcus Webb,476403,RT
Cameron Bradfield,466667,RT
Eric Herman,450000,RT
Austin Pasztor,435000,RT
Graham Pocic,420000,RT
Vinston Painter,405000,RT
