Maurkice Pouncey,8827325,C
Alex Mack,8400000,C
Ryan Kalil,8186000,C
Nick Mangold,7725000,C
Max Unger,6458750,C
Eric Wood,6350000,C
Chris Myers,6250000,C
Jason Kelce,6250000,C
John Sullivan,4900000,C
Nick Hardwick,4416667,C
Jeremy Zuttah,4083333,C
Scott Wells,3625000,C
Evan Smith,3562500,C
Kory Lichtensteiger,3500000,C
Ryan Wendell,3425000,C
Lyle Sendlein,3250000,C
Joe Hawley,3000000,C
J.D. Walton,3000000,C
Mike Pouncey,2314924,C
Samson Satele,2000000,C
Daniel Kilgore,1750000,C
Travis Frederick,1717507,C
Mackenzy Bernadeau,1550000,C
Dominic Raiola,1500000,C
Roberto Garza,1500000,C
Will Montgomery,1325000,C
Weston Richburg,1219338,C
Cody Wallace,1160000,C
Stefen Wisniewski,1033851,C
Jonathan Goodwin,1020000,C
Joe Berger,920000,C
Peter Konz,897150,C
Rodney Hudson,876525,C
Brian De La Puente,795001,C
Rich Ohrnberger,795000,C
Travis Swanson,739243,C
Doug Legursky,730000,C
Kevin Matthews,730000,C
Josh LeRibeus,714081,C
Chris Watt,704160,C
Nick McDonald,703750,C
Bryan Stork,674250,C
Russell Bodine,669114,C
Brian Schwenke,656065,C
Tony Bergstrom,651504,C
Gino Gradkowski,646106,C
Ben Jones,645362,C
Khaled Holmes,645027,C
Eric Olsen,645000,C
J.C. Tretter,643977,C
Julian Vandervelde,615000,C
Corey Linsley,601250,C
Jacques McClendon,600000,C
Wesley Johnson,591140,C
Luke Bowanko,578513,C
Tim Barnes,570000,C
Michael Person,568633,C
Demetrius Rhaney,566474,C
David Molk,540000,C
Gabe Ikard,513333,C
Jonotthan Harrison,512500,C
Dillon Farrell,511667,C
James Stone,511333,C
Dalton Freeman,510000,C
Josh Samuda,495000,C
Trevor Robinson,482000,C
Cody White,480000,C
A.Q. Shipley,480000,C
Garth Gerhart,465000,C
Sam Brenner,465000,C
Josh Allen,465000,C
T.J. Johnson,465000,C
Brian Folkerts,450000,C
Patrick Lewis,450000,C
