Trent Williams,13600000,LT
Tyron Smith,12200000,LT
Joe Thomas,11500000,LT
Anthony Castonzo,10953000,LT
Ryan Clady,10500000,LT
Jason Peters,10325000,LT
Nate Solder,10031000,LT
D'Brickashaw Ferguson,10000000,LT
Branden Albert,9400000,LT
Andrew Whitworth,9000000,LT
Duane Brown,8900000,LT
Russell Okung,8083333,LT
Eugene Monroe,7500000,LT
William Beatty,7500000,LT
Joe Staley,7441667,LT
King Dunlap,7000000,LT
Jared Veldheer,7000000,LT
Eric Fisher,5547625,LT
Greg Robinson,5321025,LT
Luke Joeckel,5300400,LT
Matt Kalil,4942650,LT
Donald Penn,4800000,LT
Marcus Cannon,4500000,LT
Jake Matthews,4107375,LT
Ereck Flowers,3597930,LT
Michael Oher,3500000,LT
Taylor Lewan,2871251,LT
Cedric Ogbuehi,2331419,LT
Riley Reiff,1998425,LT
Jake Long,1568750,LT
Donovan Smith,1517215,LT
Nate Chandler,1516667,LT
Khalif Barnes,1500000,LT
Cordy Glenn,1216295,LT
Jake Fisher,1064880,LT
Ty Sambrailo,961489,LT
Ryan Harris,920000,LT
Mike Adams,885913,LT
Tyler Polumbus,870000,LT
Sam Young,787500,LT
Bradley Sowell,760000,LT
Benjamin Ijalana,760000,LT
Charles Brown,745000,LT
Tony Hills,745000,LT
Terron Armstead,716859,LT
Donald Stephenson,703125,LT
Chris Hairston,685000,LT
David Bakhtiari,653850,LT
Nick Becton,585000,LT
Corey Robinson,584477,LT
David Quessenberry,568363,LT
Charles Leno,566628,LT
Ty Nsekhe,550000,LT
Kelvin Beachum,536474,LT
Kendall Lamm,525667,LT
Isaiah Battle,525000,LT
James Hurst,513000,LT
Jason Weaver,480000,LT
Jarrod Pughsley,480000,LT
Alejandro Villanueva,480000,LT
Carter Bykowski,465000,LT
Ulrick John,435000,LT
Tavon Rooks,435000,LT
Mitchell Van Dyk,435000,LT
