Ndamukong Suh,19062500,DL
Muhammad Wilkerson,17200000,DL
Fletcher Cox,17100000,DL
Olivier Vernon,17000000,DL
J.J. Watt,16667571,DL
Marcell Dareus,16095686,DL
Gerald McCoy,15866667,DL
Robert Quinn,14253724,DL
Malik Jackson,14250000,DL
Michael Brockers,11083333,DL
Calais Campbell,11000000,DL
Cameron Jordan,11000000,DL
Geno Atkins,10665400,DL
Mike Daniels,10250000,DL
Corey Liuget,10250000,DL
Jason Pierre-Paul,10000000,DL
Cameron Heyward,9866667,DL
Vinny Curry,9450000,DL
Damon Harrison,9250000,DL
Derek Wolfe,9175000,DL
Tyrone Crawford,9000000,DL
Jurrell Casey,9000000,DL
Mario Williams,8500000,DL
Jared Odrick,8500000,DL
Everson Griffen,8500000,DL
Carlos Dunlap,7874000,DL
Cameron Wake,7500000,DL
Kyle Williams,7433333,DL
Cliff Avril,7125000,DL
Michael Bennett,7125000,DL
Arthur Jones,6600000,DL
Robert Ayers,6500000,DL
Joey Bosa,6468421,DL
Dan Williams,6250000,DL
Linval Joseph,6250000,DL
Allen Bailey,6250000,DL
Haloti Ngata,6000000,DL
William Hayes,5833333,DL
Brian Robison,5600000,DL
Jabaal Sheard,5500000,DL
Dion Jordan,5143077,DL
Jaye Howard,5000000,DL
Tyson Jackson,5000000,DL
Michael Johnson,5000000,DL
Akiem Hicks,5000000,DL
Leonard Williams,4657717,DL
Ezekiel Ansah,4648629,DL
DeForest Buckner,4547749,DL
Vince Wilfork,4500000,DL
Sen'Derrick Marks,4500000,DL
Derrick Shelby,4500000,DL
Domata Peko,4500000,DL
Brandon Mebane,4500000,DL
Glenn Dorsey,4362500,DL
Kendall Langford,4300000,DL
Cedric Thornton,4250000,DL
Adrian Clayborn,4250000,DL
Quinton Dial,4225667,DL
Roy Miller,4062500,DL
Earl Mitchell,4000000,DL
Ahtyba Rubin,4000000,DL
Letroy Guion,3683333,DL
Vic Beasley,3623807,DL
Rob Ninkovich,3500000,DL
Al Woods,3500000,DL
Steve McLendon,3500000,DL
Paul Soliai,3500000,DL
Eugene Sims,3333333,DL
Sheldon Rankins,3200412,DL
Corey Peters,3050000,DL
Ricky Jean Francois,3000000,DL
Charles Johnson,3000000,DL
Tyson Alualu,3000000,DL
Jonathan Babineaux,3000000,DL
Chris Baker,3000000,DL
Nick Fairley,3000000,DL
Clinton McDonald,3000000,DL
Danny Shelton,2925917,DL
Dontari Poe,2830002,DL
Andre Branch,2750000,DL
Cornellius Carradine,2650000,DL
Shaq Lawson,2569744,DL
Abry Jones,2553000,DL
Aaron Donald,2534125,DL
Sheldon Richardson,2513500,DL
Arik Armstead,2460658,DL
Star Lotulelei,2401125,DL
Chris Long,2375000,DL
Kenny Clark,2340412,DL
George Johnson,2333333,DL
Tom Johnson,2333333,DL
Frostee Rucker,2159375,DL
Robert Nkemdiche,2150150,DL
Alan Branch,2150000,DL
Desmond Bryant,2125000,DL
Vernon Butler,2099129,DL
Sharrif Floyd,2019050,DL
Jared Crick,2000000,DL
Sean Lissemore,2000000,DL
Vance Walker,2000000,DL
