Von Miller,19083333,LB
Justin Houston,16833333,LB
Clay Matthews,13200000,LB
Luke Kuechly,12360313,LB
Ryan Kerrigan,11500000,LB
Bobby Wagner,10750000,LB
Navorro Bowman,10500000,LB
Lavonte David,10050000,LB
DeMarcus Ware,10000000,LB
Lawrence Timmons,9559150,LB
Bruce Irvin,9250000,LB
Jerry Hughes,9000000,LB
Thomas Davis,9000000,LB
Robert Mathis,9000000,LB
Mark Barron,9000000,LB
Brian Cushing,8750000,LB
Julius Peppers,8666667,LB
DeAndre Levy,8439683,LB
Brandon Marshall,8000000,LB
Daryl Washington,8000000,LB
Brian Orakpo,7750000,LB
Pernell McPhee,7750000,LB
Mychal Kendricks,7250000,LB
David Harris,7166667,LB
Lamarr Houston,7000000,LB
Sean Lee,7000000,LB
Derrick Johnson,7000000,LB
Tamba Hali,7000000,LB
Derrick Morgan,6750000,LB
K.J. Wright,6750000,LB
Ahmad Brooks,6733333,LB
Brandon Graham,6500000,LB
Whitney Mercilus,6500000,LB
Danny Trevathan,6125000,LB
Connor Barwin,6000000,LB
Dante Fowler Jr.,5872563,LB
Aldon Smith,5750000,LB
Jadeveon Clowney,5568250,LB
Willie Young,5525000,LB
D'Qwell Jackson,5500000,LB
Elvis Dumervil,5200000,LB
Terrell Suggs,5175000,LB
Nick Perry,5050000,LB
Rey Maualuga,5000000,LB
Paul Posluszny,5000000,LB
Vontaze Burfict ,4751000,LB
Brooks Reed,4400000,LB
Trent Cole,4250000,LB
Koa Misi,4250000,LB
Dan Skuta,4100000,LB
Barkevious Mingo,4086750,LB
Jerrell Freeman,4000000,LB
Demario Davis,4000000,LB
Erik Walden,4000000,LB
Rolando McClain,4000000,LB
Tahir Whitehead,4000000,LB
Leonard Floyd,3945715,LB
Wesley Woodyard,3937500,LB
Vincent Rey,3500000,LB
Nigel Bradham,3500000,LB
Malcolm Smith,3500000,LB
J.T. Thomas,3333333,LB
Anthony Barr,3185875,LB
Shea McClellin,3016667,LB
Paul Kruger,3000000,LB
Chad Greenway,2750000,LB
Josh Mauga,2750000,LB
Benson Mayowa,2750000,LB
Emmanuel Lamur,2750000,LB
Jonathan Casillas,2666667,LB
Keenan Robinson,2600000,LB
Akeem Ayers,2600000,LB
Darron Lee,2555412,LB
Paul Worrilow,2553000,LB
Arthur Moats,2500000,LB
Stephen Tulloch,2500000,LB
Dannell Ellerbe,2500000,LB
Daryl Smith,2500000,LB
Sean Spence,2500000,LB
Ryan Shazier,2376803,LB
Bud Dupree,2305571,LB
Shane Ray,2279724,LB
Akeem Dent,2250000,LB
Shaq Thompson,2202181,LB
C.J. Mosley,2197001,LB
Jarvis Jones,2176376,LB
Melvin Ingram,2099559,LB
Chandler Jones,2043138,LB
Jonathan Freeny,2040000,LB
Dee Ford,2039675,LB
Karlos Dansby,2000000,LB
Erin Henderson,2000000,LB
Marcus Smith,1949772,LB
Stephone Anthony,1932929,LB
Dont'a Hightower,1931001,LB
Datone Jones,1929147,LB
Deone Bucannon,1927301,LB
Vince Williams,1833333,LB
Alec Ogletree,1757509,LB
Andrew Gachkar,1750000,LB
