Von Miller,19083333,OLB
Justin Houston,16833333,OLB
Ryan Kerrigan,11500000,OLB
Lavonte David,10050000,OLB
DeMarcus Ware,10000000,OLB
Bruce Irvin,9250000,OLB
Jerry Hughes,9000000,OLB
Thomas Davis,9000000,OLB
Robert Mathis,9000000,OLB
Mark Barron,9000000,OLB
Julius Peppers,8666667,OLB
DeAndre Levy,8439683,OLB
Brian Orakpo,7750000,OLB
Pernell McPhee,7750000,OLB
Lamarr Houston,7000000,OLB
Sean Lee,7000000,OLB
Tamba Hali,7000000,OLB
Derrick Morgan,6750000,OLB
K.J. Wright,6750000,OLB
Ahmad Brooks,6733333,OLB
Brandon Graham,6500000,OLB
Whitney Mercilus,6500000,OLB
Connor Barwin,6000000,OLB
Dante Fowler Jr.,5872563,OLB
Aldon Smith,5750000,OLB
Jadeveon Clowney,5568250,OLB
Willie Young,5525000,OLB
Elvis Dumervil,5200000,OLB
Terrell Suggs,5175000,OLB
Nick Perry,5050000,OLB
Vontaze Burfict ,4751000,OLB
Brooks Reed,4400000,OLB
Trent Cole,4250000,OLB
Koa Misi,4250000,OLB
Dan Skuta,4100000,OLB
Barkevious Mingo,4086750,OLB
Erik Walden,4000000,OLB
Tahir Whitehead,4000000,OLB
Leonard Floyd,3945715,OLB
Nigel Bradham,3500000,OLB
J.T. Thomas,3333333,OLB
Anthony Barr,3185875,OLB
Paul Kruger,3000000,OLB
Chad Greenway,2750000,OLB
Benson Mayowa,2750000,OLB
Emmanuel Lamur,2750000,OLB
Jonathan Casillas,2666667,OLB
Akeem Ayers,2600000,OLB
Arthur Moats,2500000,OLB
Dannell Ellerbe,2500000,OLB
Bud Dupree,2305571,OLB
Shane Ray,2279724,OLB
Shaq Thompson,2202181,OLB
Jarvis Jones,2176376,OLB
Melvin Ingram,2099559,OLB
Chandler Jones,2043138,OLB
Dee Ford,2039675,OLB
Marcus Smith,1949772,OLB
Datone Jones,1929147,OLB
Alec Ogletree,1757509,OLB
Andrew Gachkar,1750000,OLB
John Simon,1671000,OLB
Nathan Stupar,1666667,OLB
Kyle Wilber,1625000,OLB
Jaylon Smith,1623743,OLB
Junior Galette,1600000,OLB
Myles Jack,1583610,OLB
Preston Smith,1444839,OLB
Kamalei Correa,1437410,OLB
James Harrison,1375000,OLB
Hau'oli Kikaha,1316578,OLB
Mark Herzlich,1300000,OLB
Kyle Van Noy,1275524,OLB
Courtney Upshaw,1250000,OLB
Frank Zombo,1200000,OLB
Trent Murphy,1118200,OLB
Nate Orchard,1116576,OLB
Su'a Cravens,1107742,OLB
Jeremiah Attaochu,1050775,OLB
Bryan Braman,1047500,OLB
Dwight Freeney,1000000,OLB
Michael Morgan,1000000,OLB
Markus Golden,979583,OLB
Philip Wheeler,965000,OLB
Randy Gregory,953734,OLB
Jamie Collins,940250,OLB
Ramon Humber,885000,OLB
Lorenzo Alexander,885000,OLB
Sam Acho,840000,OLB
Spencer Paysinger,840000,OLB
Lerentee McCray,800000,OLB
Kyler Fackrell,783582,OLB
Jordan Jenkins,780980,OLB
Eli Harold,764093,OLB
Josh Bynes,760000,OLB
Chris Carter,760000,OLB
Dekoda Watson,760000,OLB
Lorenzo Mauldin ,752005,OLB
Joe Schobert,743489,OLB
B.J. Goodson,730552,OLB
