Andrew Luck,24594000,QB
Carson Palmer,24350000,QB
Drew Brees,24250000,QB
Joe Flacco,22133333,QB
Aaron Rodgers,22000000,QB
Russell Wilson,21900000,QB
Ben Roethlisberger,21850000,QB
Eli Manning,21000000,QB
Philip Rivers,20812500,QB
Cam Newton,20760000,QB
Matt Ryan,20750000,QB
Tom Brady,20500000,QB
Kirk Cousins,19953000,QB
Ryan Tannehill,19250000,QB
Colin Kaepernick,19000000,QB
Jay Cutler,18100000,QB
Tyrod Taylor,18000000,QB
Tony Romo,18000000,QB
Brock Osweiler,18000000,QB
Matthew Stafford,17666667,QB
Sam Bradford,17500000,QB
Alex Smith,17000000,QB
Andy Dalton,16000000,QB
Ryan Fitzpatrick,12000000,QB
Robert Griffin III,7500000,QB
Chase Daniel,7000000,QB
Jared Goff,6984418,QB
Carson Wentz,6669085,QB
Jameis Winston,6337819,QB
Marcus Mariota,6053494,QB
Blake Bortles,5163703,QB
Josh McCown,4666667,QB
Chad Henne,4000000,QB
Case Keenum,3635000,QB
Shaun Hill,3250000,QB
Drew Stanton,3250000,QB
Colt McCoy,3000000,QB
Matt Schaub,2750000,QB
Matt McGloin,2553000,QB
Paxton Lynch,2369074,QB
Derek Anderson,2350000,QB
E.J. Manuel,2221325,QB
Brian Hoyer,2000000,QB
Blaine Gabbert,2000000,QB
Mark Sanchez,2000000,QB
Matt Cassel,2000000,QB
Brandon Weeden,2000000,QB
Matt Moore,1775000,QB
Scott Tolzien,1750000,QB
Nick Foles,1750000,QB
Teddy Bridgewater,1712376,QB
Luke McCown,1500000,QB
Derek Carr,1342950,QB
Geno Smith,1254901,QB
Austin Davis,1250000,QB
Christian Hackenberg,1165076,QB
Dan Orlovsky,1065000,QB
Kellen Clemens,1065000,QB
Tyler Bray,962500,QB
Joe Webb,930000,QB
Josh Johnson,885000,QB
Jimmy Garoppolo,870975,QB
Jacoby Brissett,852708,QB
Cody Kessler,847271,QB
Ryan Mallett,815735,QB
Sean Mannion,812724,QB
Christian Ponder,800000,QB
Mike Glennon,776016,QB
Thaddeus Lewis,760000,QB
Connor Cook,739973,QB
Kellen Moore,710000,QB
Bryce Petty,708424,QB
Cardale Jones,680848,QB
Dak Prescott,680848,QB
Ryan Nassib,653400,QB
Landry Jones,649805,QB
Tom Savage,630146,QB
Brett Hundley,625908,QB
Nate Sudfeld,619334,QB
Brandon Allen,616069,QB
Jeff Driskel,613135,QB
A.J. McCarron,600413,QB
Matt Barkley,600000,QB
Zach Mettenberger,586279,QB
Trevor Siemian,583196,QB
David Fales,555000,QB
Ryan Griffin,550000,QB
Trevone Boykin,545000,QB
Taylor Heinicke,528333,QB
Stephen Morris,525000,QB
Connor Shaw,511667,QB
Jake Rudock,495000,QB
Kevin Hogan,495000,QB
